Species,Nearshore_Offshore,Benthic_Pelagic,Depth_m,Length_mm,H2Opercent,THg_ppb,Cd_ppm,Cr_ppm,Cu_ppm,Mg_ppm,Mn_ppm,Pb_ppm,Zn_ppm
Slimy Sculpin,Offshore,Benthic,120,85,0.806192225,52,3.626516253,21.64901641,121.9201492,89788.28732,93.88981372,3.078490813,2465.542897
Alewife,Offshore,Pelagic,18,133,0.812943769,53.81,3.677775671,25.47586344,159.604455,121474.224,92.37721717,-11.28641772,1679.914058
Alewife,Offshore,Pelagic,10,179,0.801439493,86.31,3.770373762,49.76844991,214.8703993,90816.02782,81.87302001,0.479011471,5042.644444
Alewife,Offshore,Pelagic,18,107,0.761664467,15.54,3.920543707,23.52231584,186.5692212,91117.5178,65.59235461,2.555887885,1112.914923
Round Goby,Nearshore,Benthic,10,92,0.803178,38.88,3.928339326,17.77858774,96.41531653,69090.43948,6.939485488,10.17609413,895.0773174
Alewife,Offshore,Pelagic,10,165,0.784985,88.14,4.006256139,47.8635448,106.0841895,106647.2029,63.63014423,4.970525287,1676.048423
Alewife,Offshore,Pelagic,46,148,0.793034132,52.53,4.024957681,24.23231043,161.8537044,105510.0359,71.53937375,-5.24439279,1750.53015
Bloater,Nearshore,Benthic/Pelagic,110,194,0.792831423,117.28,4.05101238,26.57589257,118.9074495,100942.4795,50.94027846,-14.74488468,1537.133045
Round Goby,Nearshore,Benthic,1,74,0.804676,12.2,4.1032913,15.80184229,82.63875297,105128.5023,14.36747527,-8.830436567,1373.679699
Alewife,Offshore,Pelagic,46,140,0.738484398,36.27,4.130548572,45.8473456,159.5610204,78364.1842,83.14993951,4.991349255,2085.200984
Slimy Sculpin,Offshore,Benthic,110,90,0.804367718,105.05,4.153656027,52.1402507,117.0855562,91304.10718,158.6315851,-0.118790316,575.5733143
Round Goby,Nearshore,Benthic,46,63,0.792126522,25.39,4.222855337,33.32525393,89.40429574,95293.25611,195.0184014,5.572585069,488.6372539
Slimy Sculpin,Offshore,Benthic,110,100,0.819136458,121.38,4.282373711,102.6852628,88.09188383,53666.64852,131.9459405,10.3103115,406.7320929
Alewife,Offshore,Pelagic,18,111,0.735743381,13.86,4.34115451,27.01925718,189.8774867,96965.60497,58.28336964,-8.356979565,1464.155015
Bloater,Nearshore,Benthic/Pelagic,73,106,0.792549933,28.89,4.369242517,39.65942692,103.5668883,99555.80708,75.87948705,5.181980096,1312.025304
Round Goby,Nearshore,Benthic,10,85,0.803178,51.51,4.441410836,55.83340226,90.93234096,84309.47887,14.74710563,-20.50287203,1297.056062
Slimy Sculpin,Offshore,Benthic,110,90,0.811262213,101.47,4.471873583,49.7176245,125.1367422,86258.6255,133.6714931,-7.086555192,1246.290107
Slimy Sculpin,Offshore,Benthic,18,85,0.800183078,104.71,4.528938254,22.56367783,135.5138015,95223.65409,98.88719091,4.99608586,4891.197356
Alewife,Offshore,Pelagic,10,179,0.817122392,112.08,4.52988111,28.03031152,164.4970113,79990.1789,121.7392527,-0.184884039,5599.947667
Round Goby,Nearshore,Benthic,18,81,0.822257967,32.97,4.636361803,19.91871968,118.3633016,80514.11996,30.8340896,-7.229710654,1411.101583
Slimy Sculpin,Offshore,Benthic,46,89,0.764310088,87.38,4.683890053,77.36743047,123.4310094,78803.46776,150.3229738,4.270091476,1936.119635
Bloater,Nearshore,Benthic/Pelagic,73,99,0.780789474,26.18,4.742394063,33.04995445,161.400525,106379.2498,70.57221449,-11.37596125,1507.381489
Bloater,Nearshore,Benthic/Pelagic,91,171,0.782107213,74.19,4.775532055,23.28903288,115.2076963,96169.36194,51.13827039,3.103440982,1540.132733
Alewife,Offshore,Pelagic,18,128,0.812519489,44.64,4.800563459,28.87484849,186.6058518,114822.3284,61.75775474,5.755620104,2103.017988
Alewife,Offshore,Pelagic,18,87,0.77146366,6.22,4.809440485,33.01346709,170.5652703,90995.3009,76.45634873,-13.80327951,1190.160169
Deepwater Sculpin,Offshore,Benthic,91,121,0.828627269,121.43,4.870650741,17.00767797,58.91412682,87038.96362,110.6847651,4.409323404,1707.612787
Bloater,Nearshore,Benthic/Pelagic,91,174,0.773393855,50.4,4.891395764,24.96871626,120.2430554,84680.99713,44.59433361,-4.819259677,2115.938806
Round Goby,Nearshore,Benthic,1,74,0.804676,14.6,4.90526382,55.2626681,69.06151931,101965.0186,0.964912754,-3.916434281,780.5894931
Slimy Sculpin,Offshore,Benthic,110,84,0.784321528,104.55,4.911546285,29.37264086,121.3974005,88905.1235,144.8968611,-0.765054515,1676.908105
Slimy Sculpin,Offshore,Benthic,18,79,0.814588271,56.87,4.939657542,36.65671981,132.8128534,103858.6573,121.4455007,-2.83095815,2740.020736
Slimy Sculpin,Offshore,Benthic,110,89,0.821390526,89.79,4.976796203,16.13521849,181.5246921,83696.14803,172.0748153,7.422571299,2081.378111
Bloater,Nearshore,Benthic/Pelagic,110,190,0.790013595,126.53,4.97718684,41.10732091,104.3485968,87691.44818,14.41837126,7.51465744,820.1579732
Deepwater Sculpin,Offshore,Benthic,110,88,0.828057736,59.14,5.002602012,39.50728835,117.6826027,96847.60218,118.7458656,18.31301262,815.587151
Round Goby,Nearshore,Benthic,46,70,0.790733442,21.01,5.009975896,35.66689304,111.6010004,99112.03485,457.3595078,7.765750571,1014.249386
Alewife,Offshore,Pelagic,18,87,0.759050806,12.88,5.066405663,26.89046307,199.3051444,62684.19305,99.11696015,6.924170267,632.4265086
Bloater,Nearshore,Benthic/Pelagic,73,91,0.78202995,30.98,5.108096328,42.86179894,118.6704156,95747.7496,63.73026496,-9.967722043,1502.390578
Alewife,Offshore,Pelagic,10,153,0.830125016,93.97,5.144208177,29.00139004,189.5532132,91472.1696,146.9484515,4.13985422,7103.07314
